epoch,step,train_loss,train_ssl_std
1,1302,9.1241455078125,0.016187220811843872
3,2605,5.419158935546875,0.016549719497561455
5,3908,4.2472686767578125,0.016616340726614
7,5211,4.0334625244140625,0.016608484089374542
9,6514,3.835601806640625,0.016518207266926765
11,7817,3.7751922607421875,0.016512438654899597
13,9120,3.6930694580078125,0.016491560265421867
15,10423,3.656402587890625,0.016459794715046883
17,11726,3.6609039306640625,0.01642705127596855
19,13029,3.594390869140625,0.01641508750617504
21,14332,3.5368804931640625,0.01638292334973812
23,15635,3.5326080322265625,0.016391048207879066
25,16938,3.5272979736328125,0.016344543546438217
27,18241,3.4914703369140625,0.016362741589546204
29,19544,3.47711181640625,0.016326749697327614
31,20847,3.462921142578125,0.01633525639772415
33,22150,3.462371826171875,0.016344210132956505
35,23453,3.4693603515625,0.016300667077302933
37,24756,3.4671630859375,0.016314657405018806
39,26059,3.4168701171875,0.01630742847919464
41,27362,3.4146881103515625,0.016301408410072327
43,28665,3.4243927001953125,0.016268331557512283
45,29968,3.388885498046875,0.01626463606953621
47,31271,3.38336181640625,0.016274556517601013
49,32574,3.403167724609375,0.01626269519329071
