epoch,step,train_loss,train_ssl_std
0,120,7.48683500289917,0.01620866358280182
1,241,7.48023796081543,0.01614931970834732
2,362,7.4120707511901855,0.01624459959566593
3,483,7.128208637237549,0.016199270263314247
4,604,5.509222030639648,0.016206620261073112
5,725,4.837594032287598,0.01615414395928383
6,846,4.370944023132324,0.016203081235289574
7,967,4.107856750488281,0.01620725728571415
8,1088,3.712758779525757,0.016179367899894714
9,1209,3.846859931945801,0.01618460938334465
10,1330,3.863377571105957,0.016106106340885162
11,1451,3.639871597290039,0.016170743852853775
12,1572,3.9378180503845215,0.016131849959492683
13,1693,3.8519248962402344,0.016129864379763603
14,1814,3.7785720825195312,0.01610592193901539
15,1935,3.5605719089508057,0.01610640436410904
16,2056,3.5758888721466064,0.016100004315376282
17,2177,3.643840789794922,0.01604728400707245
18,2298,3.467967987060547,0.016075603663921356
19,2419,3.9601070880889893,0.01605888456106186
20,2540,3.602024793624878,0.01605233922600746
21,2661,3.6626102924346924,0.016016000881791115
22,2782,3.4798552989959717,0.01602860353887081
23,2903,3.563774347305298,0.016017278656363487
24,3024,3.5084774494171143,0.016031309962272644
25,3145,3.621076822280884,0.016004350036382675
26,3266,3.321772575378418,0.01598203554749489
27,3387,3.4204423427581787,0.015973258763551712
28,3508,3.4749248027801514,0.015984922647476196
29,3629,3.5347251892089844,0.015998760238289833
30,3750,3.5006470680236816,0.015971407294273376
31,3871,3.2906970977783203,0.015948135405778885
32,3992,3.3230931758880615,0.016004925593733788
33,4113,3.362379789352417,0.015928644686937332
34,4234,3.3142123222351074,0.015934130176901817
35,4355,3.404815196990967,0.0159445833414793
36,4476,3.2366902828216553,0.015933798626065254
37,4597,3.1519975662231445,0.015943989157676697
38,4718,3.088362455368042,0.015899261459708214
39,4839,3.141035318374634,0.0159523393958807
40,4960,3.292461633682251,0.015934783965349197
41,5081,3.2326760292053223,0.015914658084511757
42,5202,3.4038209915161133,0.01591229811310768
43,5323,3.1932239532470703,0.015934087336063385
44,5444,3.160123348236084,0.015913445502519608
45,5565,3.1482996940612793,0.01594492420554161
46,5686,3.125232458114624,0.015915237367153168
47,5807,3.2243411540985107,0.015859678387641907
48,5928,3.1618411540985107,0.015880625694990158
49,6049,3.2312629222869873,0.015913859009742737
