epoch,lr-AdamW,step,train_acc,train_f1_macro,train_loss,val_acc,val_f1_macro,val_f1_weighted,val_loss
,0.002661901888489057,0,,,,,,,
0,,29,,,,0.11666666716337204,0.12758435308933258,0.11014604568481445,0.32846078276634216
0,,29,0.39722222089767456,0.30395081639289856,0.3824155628681183,,,,
,0.002661901888489057,30,,,,,,,
1,,59,,,,0.16111111640930176,0.16177339851856232,0.12703557312488556,0.33960652351379395
1,,59,0.4972222149372101,0.38786107301712036,0.2940464913845062,,,,
,0.002661901888489057,60,,,,,,,
2,,89,,,,0.15555556118488312,0.16046905517578125,0.13512885570526123,0.30900585651397705
2,,89,0.5208333134651184,0.40634483098983765,0.26515957713127136,,,,
,0.002661901888489057,90,,,,,,,
3,,119,,,,0.15000000596046448,0.15148557722568512,0.11822982877492905,0.3192022442817688
3,,119,0.5263888835906982,0.420556902885437,0.24753378331661224,,,,
,0.002661901888489057,120,,,,,,,
4,,149,,,,0.1666666716337204,0.1676476001739502,0.15430979430675507,0.30899176001548767
4,,149,0.5069444179534912,0.40223926305770874,0.249785915017128,,,,
,0.002661901888489057,150,,,,,,,
5,,179,,,,0.17777778208255768,0.17839959263801575,0.1763443648815155,0.310003399848938
5,,179,0.5555555820465088,0.4637954831123352,0.2052287459373474,,,,
,0.002661901888489057,180,,,,,,,
6,,209,,,,0.18333333730697632,0.180765300989151,0.15258429944515228,0.31421905755996704
6,,209,0.5583333373069763,0.4667438864707947,0.21655292809009552,,,,
,0.002661901888489057,210,,,,,,,
7,,239,,,,0.20555555820465088,0.20191076397895813,0.19148460030555725,0.2958046495914459
7,,239,0.5888888835906982,0.4839811325073242,0.19666695594787598,,,,
,0.002661901888489057,240,,,,,,,
8,,269,,,,0.20555555820465088,0.20156137645244598,0.17783358693122864,0.3256610929965973
8,,269,0.6000000238418579,0.5043830871582031,0.19222430884838104,,,,
,0.002661901888489057,270,,,,,,,
9,,299,,,,0.20555555820465088,0.20371176302433014,0.20140662789344788,0.30564525723457336
9,,299,0.574999988079071,0.4883807897567749,0.18620336055755615,,,,
,0.002661901888489057,300,,,,,,,
10,,329,,,,0.23888888955116272,0.2305094301700592,0.231717050075531,0.31686779856681824
10,,329,0.6027777791023254,0.49277621507644653,0.19046594202518463,,,,
,0.002661901888489057,330,,,,,,,
11,,359,,,,0.23888888955116272,0.2331836223602295,0.25603193044662476,0.2940482199192047
11,,359,0.5958333611488342,0.5024932622909546,0.18514075875282288,,,,
,0.002661901888489057,360,,,,,,,
12,,389,,,,0.25,0.23674604296684265,0.21957145631313324,0.30058684945106506
12,,389,0.6013888716697693,0.533580482006073,0.1935914158821106,,,,
,0.002661901888489057,390,,,,,,,
13,,419,,,,0.18333333730697632,0.18254588544368744,0.16600176692008972,0.32908713817596436
13,,419,0.6152777671813965,0.5163298845291138,0.19161395728588104,,,,
,0.002661901888489057,420,,,,,,,
14,,449,,,,0.21666666865348816,0.21332289278507233,0.219844251871109,0.28719979524612427
14,,449,0.5986111164093018,0.501762330532074,0.17964638769626617,,,,
,0.002661901888489057,450,,,,,,,
15,,479,,,,0.18888889253139496,0.18681561946868896,0.16534219682216644,0.3159710466861725
15,,479,0.5916666388511658,0.4881095886230469,0.18319521844387054,,,,
,0.002661901888489057,480,,,,,,,
16,,509,,,,0.24444444477558136,0.23933343589305878,0.25158751010894775,0.3149622678756714
16,,509,0.5833333134651184,0.5111237168312073,0.17744222283363342,,,,
,0.002661901888489057,510,,,,,,,
17,,539,,,,0.17222222685813904,0.17107951641082764,0.15196315944194794,0.28838545083999634
17,,539,0.6000000238418579,0.5119349956512451,0.18227295577526093,,,,
,0.002661901888489057,540,,,,,,,
18,,569,,,,0.23888888955116272,0.23372715711593628,0.25303325057029724,0.2962758243083954
18,,569,0.6041666865348816,0.510725736618042,0.17276065051555634,,,,
,0.002661901888489057,570,,,,,,,
19,,599,,,,0.24444444477558136,0.23835358023643494,0.2761930227279663,0.28468307852745056
19,,599,0.6097221970558167,0.5155842304229736,0.1730724722146988,,,,
,0.002661901888489057,600,,,,,,,
20,,629,,,,0.2611111104488373,0.23489628732204437,0.25735414028167725,0.2823149263858795
20,,629,0.581944465637207,0.48863470554351807,0.17001058161258698,,,,
,0.002661901888489057,630,,,,,,,
21,,659,,,,0.24444444477558136,0.2302151620388031,0.24545541405677795,0.3168257474899292
21,,659,0.5972222089767456,0.5220712423324585,0.17625872790813446,,,,
,0.002661901888489057,660,,,,,,,
22,,689,,,,0.2222222238779068,0.21838121116161346,0.2189948558807373,0.30449098348617554
22,,689,0.5986111164093018,0.5299584865570068,0.16172035038471222,,,,
,0.0013309509442445285,690,,,,,,,
23,,719,,,,0.2611111104488373,0.24512618780136108,0.2601672410964966,0.28354203701019287
23,,719,0.605555534362793,0.529961347579956,0.16326738893985748,,,,
,0.0013309509442445285,720,,,,,,,
24,,749,,,,0.17222222685813904,0.1705825924873352,0.14615574479103088,0.3063676357269287
24,,749,0.6486111283302307,0.5429267883300781,0.16167837381362915,,,,
,0.0013309509442445285,750,,,,,,,
25,,779,,,,0.23888888955116272,0.23469233512878418,0.25903263688087463,0.2772729992866516
25,,779,0.6236110925674438,0.5396177768707275,0.15362615883350372,,,,
,0.0013309509442445285,780,,,,,,,
26,,809,,,,0.2666666805744171,0.25796473026275635,0.28227415680885315,0.2865414619445801
26,,809,0.6388888955116272,0.5608806610107422,0.1497354507446289,,,,
,0.0013309509442445285,810,,,,,,,
27,,839,,,,0.25,0.22777248919010162,0.24615082144737244,0.3097921907901764
27,,839,0.6472222208976746,0.5547448396682739,0.15354622900485992,,,,
,0.0013309509442445285,840,,,,,,,
28,,869,,,,0.25,0.23822303116321564,0.2628369927406311,0.29921770095825195
28,,869,0.6499999761581421,0.5600023865699768,0.15232308208942413,,,,
,0.0013309509442445285,870,,,,,,,
29,,899,,,,0.24444444477558136,0.22939899563789368,0.2428179383277893,0.3008682131767273
29,,899,0.6152777671813965,0.5362101793289185,0.15439409017562866,,,,
,0.0013309509442445285,900,,,,,,,
30,,929,,,,0.21666666865348816,0.20688404142856598,0.20149093866348267,0.31058746576309204
30,,929,0.6458333134651184,0.5602647066116333,0.15069253742694855,,,,
,0.0013309509442445285,930,,,,,,,
31,,959,,,,0.2666666805744171,0.2516479790210724,0.287149578332901,0.29536646604537964
31,,959,0.6347222328186035,0.5532611012458801,0.15591928362846375,,,,
,0.0013309509442445285,960,,,,,,,
32,,989,,,,0.23888888955116272,0.2269735336303711,0.257265567779541,0.3020091652870178
32,,989,0.6430555582046509,0.5799132585525513,0.15029433369636536,,,,
,0.0006654754721222643,990,,,,,,,
33,,1019,,,,0.27222222089767456,0.2576214075088501,0.30507785081863403,0.2944872975349426
33,,1019,0.6472222208976746,0.5862199068069458,0.15345624089241028,,,,
,0.0006654754721222643,1020,,,,,,,
34,,1049,,,,0.25555557012557983,0.24879440665245056,0.25609004497528076,0.3021252453327179
34,,1049,0.6486111283302307,0.5838502645492554,0.14864897727966309,,,,
,0.0006654754721222643,1050,,,,,,,
35,,1079,,,,0.2611111104488373,0.2525796890258789,0.27112504839897156,0.31238800287246704
35,,1079,0.637499988079071,0.54816734790802,0.1496494561433792,,,,
,0.0006654754721222643,1080,,,,,,,
36,,1109,,,,0.27222222089767456,0.25593459606170654,0.29718711972236633,0.3028022050857544
36,,1109,0.6180555820465088,0.5505044460296631,0.15122951567173004,,,,
