epoch,step,train_loss,train_ssl_std
0,254,7.9833807945251465,0.01598847098648548
1,509,7.942329406738281,0.016075750812888145
2,764,7.850710391998291,0.01609942689538002
3,1019,7.560298442840576,0.016162194311618805
4,1274,5.33473014831543,0.016299709677696228
5,1529,3.9282314777374268,0.016390711069107056
6,1784,3.377734422683716,0.016392452642321587
7,2039,3.1594104766845703,0.016499459743499756
8,2294,3.134161949157715,0.016508828848600388
9,2549,3.026278495788574,0.016516927629709244
10,2804,2.830859422683716,0.016515614464879036
11,3059,2.8879261016845703,0.01656164973974228
12,3314,2.7772727012634277,0.01656879112124443
13,3569,2.8620383739471436,0.016546519473195076
14,3824,2.6781959533691406,0.01651802472770214
15,4079,2.658451795578003,0.016517305746674538
16,4334,2.669921875,0.016511384397745132
17,4589,2.6229047775268555,0.016513746231794357
18,4844,2.6363637447357178,0.01648755371570587
19,5099,2.706747055053711,0.01649506203830242
20,5354,2.5395240783691406,0.01651151292026043
21,5609,2.542933225631714,0.016530312597751617
22,5864,2.5313210487365723,0.016502968966960907
23,6119,2.5434303283691406,0.016507117077708244
24,6374,2.529829502105713,0.016493551433086395
25,6629,2.481285572052002,0.0164717435836792
26,6884,2.4625356197357178,0.016471613198518753
27,7139,2.3964133262634277,0.0165146142244339
28,7394,2.424041271209717,0.01649506762623787
29,7649,2.421626329421997,0.016482464969158173
30,7904,2.425177574157715,0.016461826860904694
31,8159,2.4127840995788574,0.01647113263607025
32,8414,2.376988649368286,0.0164411012083292
33,8669,2.4636008739471436,0.016454754397273064
34,8924,2.414311170578003,0.016449324786663055
35,9179,2.427769899368286,0.016469920054078102
36,9434,2.4083452224731445,0.016431350260972977
37,9689,2.3734729290008545,0.01645221933722496
38,9944,2.348473072052002,0.016458427533507347
39,10199,2.375816822052002,0.01643984206020832
40,10454,2.297727346420288,0.016450004652142525
41,10709,2.3538706302642822,0.01643335446715355
42,10964,2.3081676959991455,0.016444720327854156
43,11219,2.336541175842285,0.01643742434680462
44,11474,2.3341619968414307,0.016407305374741554
45,11729,2.284943103790283,0.01641736552119255
46,11984,2.3698153495788574,0.016377557069063187
47,12239,2.319708824157715,0.016383225098252296
48,12494,2.3184659481048584,0.01636636070907116
49,12749,2.2729403972625732,0.016423730179667473
