epoch,lr-AdamW,step,train_acc,train_f1_macro,train_loss,val_acc,val_f1_macro,val_f1_weighted,val_loss
,0.003967605077052989,0,,,,,,,
0,,44,,,,0.2666666805744171,0.2833140194416046,0.2566504180431366,0.08369044959545135
0,,44,0.512499988079071,0.43463295698165894,0.14253145456314087,,,,
,0.003967605077052989,45,,,,,,,
1,,89,,,,0.32777777314186096,0.33515024185180664,0.3410349190235138,0.0687076598405838
1,,89,0.637499988079071,0.5646986961364746,0.06803334504365921,,,,
,0.003967605077052989,90,,,,,,,
2,,134,,,,0.46666666865348816,0.4514032006263733,0.5137308239936829,0.056183040142059326
2,,134,0.6694444417953491,0.6123042106628418,0.050010617822408676,,,,
,0.003967605077052989,135,,,,,,,
3,,179,,,,0.36666667461395264,0.3708442747592926,0.3942989408969879,0.06455153226852417
3,,179,0.6805555820465088,0.6316685676574707,0.04886054992675781,,,,
,0.003967605077052989,180,,,,,,,
4,,224,,,,0.5166666507720947,0.49102067947387695,0.5595860481262207,0.05147979035973549
4,,224,0.6847222447395325,0.6506465673446655,0.05376037582755089,,,,
,0.003967605077052989,225,,,,,,,
5,,269,,,,0.5222222208976746,0.48294970393180847,0.5777588486671448,0.04539400339126587
5,,269,0.7486110925674438,0.7113759517669678,0.03504046052694321,,,,
,0.003967605077052989,270,,,,,,,
6,,314,,,,0.46666666865348816,0.4506010413169861,0.5062680244445801,0.05353596433997154
6,,314,0.7444444298744202,0.7096652388572693,0.03653872385621071,,,,
,0.003967605077052989,315,,,,,,,
7,,359,,,,0.4611110985279083,0.445726215839386,0.5031744241714478,0.04790480434894562
7,,359,0.7541666626930237,0.7169962525367737,0.026580654084682465,,,,
,0.003967605077052989,360,,,,,,,
8,,404,,,,0.5,0.4732142984867096,0.5475884675979614,0.04790586978197098
8,,404,0.7847222089767456,0.7580968141555786,0.02899647317826748,,,,
,0.003967605077052989,405,,,,,,,
9,,449,,,,0.5833333134651184,0.524156928062439,0.6427367329597473,0.04234695062041283
9,,449,0.7611111402511597,0.7467052936553955,0.026417721062898636,,,,
,0.003967605077052989,450,,,,,,,
10,,494,,,,0.5944444537162781,0.5394214987754822,0.650166392326355,0.05081190541386604
10,,494,0.7736111283302307,0.7412278652191162,0.027885494753718376,,,,
,0.003967605077052989,495,,,,,,,
11,,539,,,,0.550000011920929,0.5279006958007812,0.5922942161560059,0.050261594355106354
11,,539,0.7944444417953491,0.7778310775756836,0.02725818380713463,,,,
,0.003967605077052989,540,,,,,,,
